id,name_th,name_en,name_ja,city,area,category,tags,lat,lng,open_hours,closed_days,avg_visit_min,avg_cost_jpy,tips,quality_score
kr-sel-gyeongbokgung,พระราชวังคยองบกกุง,Gyeongbokgung Palace,景福宮,โซล,คยองบกกุง,วัง,ต้องไป|ถ่ายรูปสวย|ใส่ฮันบกเข้าฟรี,37.5796,126.9770,09:00–18:00,อังคาร,120,300,ใส่ฮันบกเข้าฟรี ร้านเช่าอยู่รอบวัง เปลี่ยนเวรยาม 10:00 กับ 14:00,96
kr-sel-bukchon,หมู่บ้านบุกชอนฮันอก,Bukchon Hanok Village,北村韓屋村,โซล,บุกชอน,ย่านเมืองเก่า,ถ่ายรูปสวย|ฟรี|เดินเล่น,37.5826,126.9831,ตลอดเวลา,,60,0,คนอยู่จริง เดินเงียบ ๆ และเลี่ยงหลัง 17:00 ตามป้ายขอความร่วมมือ,88
kr-sel-changdeokgung,พระราชวังชางด็อกกุง + สวนลับ,Changdeokgung Palace and Secret Garden,昌徳宮,โซล,ชงโน,วัง,ต้องจองล่วงหน้า|ใบไม้เปลี่ยนสี,37.5794,126.9910,09:00–18:00,จันทร์,120,800,สวนลับต้องจองรอบล่วงหน้าออนไลน์ รอบภาษาอังกฤษเต็มเร็ว,90
kr-sel-insadong,ถนนอินซาดง,Insadong Street,仁寺洞,โซล,อินซาดง,ช้อปปิ้ง,ของฝาก|ของกิน|เดินเล่น,37.5744,126.9856,10:00–21:00,,90,0,ร้านชาเกาหลีดั้งเดิมอยู่ในตรอกด้านใน ไม่ใช่ถนนใหญ่,80
kr-sel-myeongdong,ย่านมยองดง,Myeongdong,明洞,โซล,มยองดง,ช้อปปิ้ง,เครื่องสำอาง|สตรีทฟู้ด|ต้องไป,37.5636,126.9827,10:00–22:00,,120,0,รถเข็นสตรีทฟู้ดเปิดจริงหลัง 16:00 ตอนกลางวันจะเงียบกว่าที่คิด,85
kr-sel-namsan,หอคอยเอ็นโซล (นัมซาน),N Seoul Tower,Nソウルタワー,โซล,นัมซาน,จุดชมวิว,วิวสวย|ต้องไป|ตอนเย็นสวย,37.5512,126.9882,10:00–23:00,,120,1200,ขึ้นเคเบิลคาร์จากมยองดง ไปถึงก่อนพระอาทิตย์ตกราวหนึ่งชั่วโมง,92
kr-sel-dongdaemun-ddp,ทงแดมุนดีไซน์พลาซ่า,Dongdaemun Design Plaza,東大門デザインプラザ,โซล,ทงแดมุน,สถาปัตยกรรม,ถ่ายรูปสวย|ฟรี|กลางคืน,37.5665,127.0092,10:00–20:00,,60,0,ดอกไม้ LED เปิดเฉพาะบางฤดู เช็กก่อนไป,78
kr-sel-gwangjang,ตลาดควังจัง,Gwangjang Market,広蔵市場,โซล,ชงโน,ตลาด,ของกิน|ต้องไป|สตรีทฟู้ด,37.5701,126.9997,09:00–22:00,,75,600,บินแดต๊อก (แพนเค้กถั่วเขียว) กับมายัคคิมบับคือของขึ้นชื่อ เอาเงินสดไป,90
kr-sel-hongdae,ย่านฮงแด,Hongdae,弘大,โซล,ฮงแด,ย่านวัยรุ่น,กลางคืน|ของกิน|ดนตรีสด,37.5563,126.9236,ตลอดเวลา,,120,0,โชว์เต้นข้างถนนเริ่มราวสองทุ่มวันศุกร์–เสาร์,84
kr-sel-yeonnam,ยอนนัมดง,Yeonnam-dong,延南洞,โซล,ยอนนัมดง,คาเฟ่,คาเฟ่|เดินเล่น|ถ่ายรูปสวย,37.5602,126.9250,11:00–22:00,,90,500,สวนเส้นยาว Gyeongui Line Forest เดินต่อจากฮงแดได้เลย,80
kr-sel-ihwa,หมู่บ้านศิลปะอีฮวา,Ihwa Mural Village,梨花洞壁画村,โซล,ทงแดมุน,ย่านเมืองเก่า,ถ่ายรูปสวย|ฟรี|ทางชัน,37.5800,127.0050,ตลอดเวลา,,60,0,เป็นชุมชนที่มีคนอยู่จริง บางภาพถูกลบไปแล้ว ใส่รองเท้าเดินสบาย,70
kr-sel-cheonggyecheon,คลองชองกเยชอน,Cheonggyecheon Stream,清渓川,โซล,ชงโน,เดินเล่น,ฟรี|เดินเล่น|กลางคืน,37.5696,126.9784,ตลอดเวลา,,45,0,เดินจากควังฮวามุนไปทงแดมุนได้ยาวราวห้ากิโล เลือกช่วงเอา,75
kr-sel-lotte-tower,ลอตเต้เวิลด์ทาวเวอร์ (ซอลลอฟท์),Lotte World Tower Seoul Sky,ロッテワールドタワー,โซล,ซัมซิล,จุดชมวิว,วิวสวย|ต้องจองล่วงหน้า,37.5125,127.1025,10:30–22:00,,90,2700,ซื้อออนไลน์ถูกกว่าหน้าตู้ วันฟ้าใสเห็นถึงภูเขาโดยรอบ,82
kr-sel-lotte-world,สวนสนุกลอตเต้เวิลด์,Lotte World Adventure,ロッテワールド,โซล,ซัมซิล,สวนสนุก,ครอบครัว|ต้องจองล่วงหน้า|ทั้งวัน,37.5111,127.0980,10:00–21:00,,360,4500,ในร่มทั้งโซนหลัก ฝนตกก็ยังเที่ยวได้ วันธรรมดาคิวสั้นกว่ามาก,85
kr-sel-starfield,ห้องสมุดสตาร์ฟิลด์ โคเอ็กซ์,Starfield Library COEX,スターフィールド図書館,โซล,กังนัม,สถาปัตยกรรม,ถ่ายรูปสวย|ฟรี|ในร่ม,37.5100,127.0600,10:30–22:00,,45,0,อยู่ในห้าง เดินต่อจากสถานีซัมซองได้เลย,76
kr-sel-garosugil,การอซูกิล,Garosu-gil,カロスキル,โซล,กังนัม,ช้อปปิ้ง,คาเฟ่|แฟชั่น|เดินเล่น,37.5205,127.0230,11:00–22:00,,90,0,ร้านแบรนด์เกาหลีเปิดสายกว่าย่านอื่น อย่าไปเช้า,72
kr-sel-seongsu,ซองซูดง,Seongsu-dong,聖水洞,โซล,ซองซู,คาเฟ่,คาเฟ่|ป๊อปอัพ|ถ่ายรูปสวย,37.5445,127.0557,11:00–21:00,,120,600,ป๊อปอัพสโตร์เปลี่ยนแทบทุกเดือน เช็กอินสตาแกรมก่อนไป,80
