id,name_th,name_en,name_ja,city,area,category,tags,lat,lng,open_hours,closed_days,avg_visit_min,avg_cost_jpy,tips,quality_score
jp-tky-sensoji,วัดเซนโซจิ,Senso-ji Temple,浅草寺,โตเกียว,อาซากุสะ,วัด,ต้องไป|ถ่ายรูปสวย|ฟรี,35.7148,139.7967,06:00–17:00,,90,0,ไปก่อน 8 โมงคนน้อยมาก ถนนนากามิเสะร้านเปิดราว 9 โมง,95
jp-tky-skytree,โตเกียวสกายทรี,Tokyo Skytree,東京スカイツリー,โตเกียว,โอชิอาเกะ,จุดชมวิว,วิวสวย|ต้องจองล่วงหน้า,35.7101,139.8107,10:00–21:00,,90,2400,ซื้อตั๋วออนไลน์ถูกกว่าและไม่ต้องต่อคิว,90
jp-tky-teamlab-planets,teamLab Planets,teamLab Planets TOKYO,チームラボプラネッツ,โตเกียว,โทโยสุ,พิพิธภัณฑ์,ต้องจองล่วงหน้า|ในร่ม|ถ่ายรูปสวย,35.6497,139.7903,09:00–22:00,,120,3800,ต้องเลือกรอบเวลา เดินเท้าเปล่าลุยน้ำ ใส่กางเกงขาสั้นไปดีกว่า,92
jp-tky-teamlab-borderless,teamLab Borderless,teamLab Borderless,チームラボボーダレス,โตเกียว,อาซาบุไดฮิลส์,พิพิธภัณฑ์,ต้องจองล่วงหน้า|ในร่ม,35.6605,139.7409,09:00–21:00,,150,3800,คนละที่กับ Planets เลือกไปที่เดียวพอ,88
jp-tky-shibuya-sky,Shibuya Sky,Shibuya Sky,渋谷スカイ,โตเกียว,ชิบูย่า,จุดชมวิว,พระอาทิตย์ตก|ต้องจองล่วงหน้า|วิวสวย,35.6581,139.7017,10:00–22:30,,75,2500,รอบพระอาทิตย์ตกเต็มเร็วมาก จองล่วงหน้าอย่างน้อย 2 สัปดาห์,93
jp-tky-shibuya-crossing,แยกชิบูย่า,Shibuya Scramble Crossing,渋谷スクランブル交差点,โตเกียว,ชิบูย่า,จุดถ่ายรูป,ฟรี|กลางคืน|ถ่ายรูปสวย,35.6595,139.7005,ตลอดวัน,,30,0,ถ่ายจากชั้น 2 ของ Starbucks หรือทางเชื่อมสถานีได้มุมดีที่สุด,85
jp-tky-hachiko,รูปปั้นฮาจิโกะ,Hachiko Statue,忠犬ハチ公像,โตเกียว,ชิบูย่า,จุดถ่ายรูป,ฟรี,35.6590,139.7006,ตลอดวัน,,15,0,คนต่อคิวถ่ายรูปเยอะช่วงบ่าย,72
jp-tky-meiji-jingu,ศาลเจ้าเมจิ,Meiji Jingu Shrine,明治神宮,โตเกียว,ฮาราจูกุ,ศาลเจ้า,ฟรี|ธรรมชาติ|ไปเช้าดี,35.6764,139.6993,05:00–18:00,,90,0,ทางเดินในป่าร่มรื่น เหมาะไปเช้า ๆ ก่อนไปฮาราจูกุ,88
jp-tky-takeshita,ถนนทาเคชิตะ,Takeshita Street,竹下通り,โตเกียว,ฮาราจูกุ,ย่านช้อปปิ้ง,ของกิน|ช้อปปิ้ง|วัยรุ่น,35.6712,139.7031,10:00–20:00,,75,1500,วันหยุดแน่นมาก ไปวันธรรมดาสบายกว่าเยอะ,80
jp-tky-omotesando,โอโมเตะซันโด,Omotesando,表参道,โตเกียว,โอโมเตะซันโด,ย่านช้อปปิ้ง,ช้อปปิ้ง|สถาปัตยกรรม,35.6652,139.7124,11:00–20:00,,90,0,แบรนด์หรูและตึกดีไซน์สวย เดินต่อจากฮาราจูกุได้เลย,78
jp-tky-shinjuku-gyoen,สวนชินจูกุเกียวเอ็น,Shinjuku Gyoen National Garden,新宿御苑,โตเกียว,ชินจูกุ,สวนสาธารณะ,ธรรมชาติ|ใบไม้เปลี่ยนสี|ซากุระ,35.6852,139.7100,09:00–16:00,จันทร์,90,500,ปิดวันจันทร์ ช่วงซากุระกับใบไม้แดงสวยที่สุด,90
